iter	Passed	Remaining
321	7099	6129
322	7121	6107
323	7143	6085
324	7163	6061
325	7185	6039
326	7207	6017
327	7226	5993
328	7247	5969
329	7267	5946
330	7291	5926
331	7312	5902
332	7332	5879
333	7352	5855
334	7371	5831
335	7392	5808
336	7414	5786
337	7436	5764
338	7458	5742
339	7477	5718
340	7498	5695
341	7519	5672
342	7538	5648
343	7560	5626
344	7580	5602
345	7603	5581
346	7625	5560
347	7647	5538
348	7668	5515
349	7690	5493
350	7712	5471
351	7733	5448
352	7753	5425
353	7779	5405
354	7799	5382
355	7820	5360
356	7841	5337
357	7861	5314
358	7881	5291
359	7903	5268
360	7925	5246
361	7947	5225
362	7969	5203
363	7988	5179
364	8008	5155
365	8029	5133
366	8049	5110
367	8071	5088
368	8092	5065
369	8119	5047
370	8146	5028
371	8166	5005
372	8188	4983
373	8210	4961
374	8231	4939
375	8253	4917
376	8276	4895
377	8298	4873
378	8319	4851
379	8416	4872
380	8465	4866
381	8488	4844
382	8513	4823
383	8538	4802
384	8560	4780
385	8582	4758
386	8607	4737
387	8630	4715
388	8650	4692
389	8672	4669
390	8695	4647
391	8717	4625
392	8740	4603
393	8763	4582
394	8786	4559
395	8807	4537
396	8830	4515
397	8853	4493
398	8875	4471
399	8898	4449
400	8920	4427
401	8945	4406
402	8967	4383
